"mean","sd"
6.71795038683435,4.55997919426598
5.75648962814938,3.8379888371409
4.71797500837553,2.88239891999146
6.84622015055139,4.62564025034599
5.91032399214544,4.24985243088971
5.15384674126429,3.29988809600378
6.24358964998028,3.55703993538051
6.10256505269867,4.26521604300054
7.21743927245832,5.50356307421291
5.70512334215373,3.20176472421436
6.21803463897348,3.96313791349421
7.4743757928298,4.88061622551413
5.16666543454814,2.89907954647606
5.99996906283525,3.77673495871059
6.57732750805349,5.12156193086479
5.47440645510441,3.70504757836678
6.16674325121733,4.02465791901388
4.99999935303033,2.74132138968261
6.75643642132193,4.88008468742262
5.9230758933143,3.50454226889493
6.98717744312881,5.16801999591581
5.51282235573221,3.48639665022461
6.52595780696884,5.19367044322976
4.8077023007225,2.98461239812014
8.16666555541712,5.518187805281
6.60258240048954,4.80258170975551
6.79486937367704,4.66236844202802
6.0129525130899,4.0931378925737
6.37202795070263,4.47759772496139
6.96157449810801,5.35675102794522
5.01346403768979,3.50454449212832
6.19284529544522,4.28619072337057
4.8592502532223,3.24098234807426
6.21797403602111,4.02291871914445
7.17951147223656,5.27269864506852
6.11581251960705,4.20686329839759
5.83347525382061,3.76202182756858
6.51283728662181,4.73747865401567
6.51282123584239,3.73357856248864
6.97435727739265,4.01380901448436
7.41026506961259,4.70587092664664
7.21794721461136,5.05408267839095
6.64109175254933,4.62570498363273
5.8589724850506,3.51509400227271
5.60256186686731,3.33170340184309
6.42314168960983,4.13092336048782
5.42307833485602,3.53201561693992
5.34622315153224,3.63723587867238
5.84620619039138,3.74433734935397
5.76923049688205,4.27243062166243
5.15355653617405,3.05928025667423
5.43583559895577,3.69954816338319
7.00005399678997,4.99473051659262
6.41025316117612,3.60719741754221
6.46156794019159,4.52468021281237
6.44871917942867,4.50189811751063
6.41025603408813,4.07209609144565
6.10274657504277,4.30601807900226
5.56409818820357,3.17671820303203
7.15384281022084,4.74378709253239
5.42307557908632,3.12627571124628
6.23113071047676,4.26603664228253
5.48727549824717,3.54185294029249
7.34636530859015,5.12223861988814
5.82050829897184,3.28363964394348
6.73146439377333,4.64665963078278
7.35897609872612,5.47610102855883
6.6410332866884,4.57269363934008
6.01281718758484,4.61709879705559
5.49999726499352,3.00444134171244
6.98721856103472,4.62800000383529
5.53848271411224,3.33813813721811
5.83336021119129,3.57977703026539
7.37186068823552,5.68010936082582
5.19230637740647,2.97759707014222
5.84616007303684,4.03320474475192
