"mean","sd"
6.62638007761788,6.20750219245746
8.19439555501447,12.4098111198196
4.99579039138223,4.59903229584396
5.23538870498492,4.14035734428865
5.43665612580747,4.48078793992282
4.69711470215437,4.06881698234919
4.67783085135681,3.86712607164294
5.51717158387999,5.07461628657732
5.84655464608844,6.85209640517328
5.26932267397932,4.3233720071035
5.84973152474949,5.51689812853832
5.72940515343374,7.58913594248358
5.16701729121967,4.86376120003736
5.69883428386829,5.40298089637919
5.42004708610819,6.49321959185072
7.09142774922843,8.83434853401339
5.41725287658683,4.84556555924861
6.54228630971285,7.27676325741353
5.22263585111526,6.02168246221105
4.705596922744,3.67659995690739
4.66235496083528,3.40849658064984
5.28242967900456,4.48974429153215
5.99947164211127,5.10413342847308
5.10105067486268,4.19133272951269
5.54822257284629,5.5686557542045
5.6631134466962,4.87248645576434
5.78658919245773,5.16581609203754
5.2951629828635,5.39812633943078
6.13642486839016,6.12188316615166
5.7602027847095,6.02747051720143
6.75800294237738,7.25493397472809
5.3686424312903,6.58303545100768
4.5592973591192,6.57153304058251
6.04598454283761,5.13953216190646
5.4066996358853,4.1989498526822
5.84408147154897,5.38809631119509
5.52937752104367,5.40712740507265
5.20757150448231,4.21262744005564
6.02830918550527,5.45741292451823
5.65001220841244,4.77694413099836
6.86187833627211,7.95970555576438
5.32490451708335,5.43498325349765
4.73493585886922,3.63294603147795
6.14085107252442,7.28004484419441
5.17062256641025,4.47125898276092
5.65709022527576,4.77151727851376
4.94415362101328,3.26909957200887
4.89654553075351,3.1336019840255
6.3581600006255,6.64607034642481
4.99233412667939,4.38768399470627
4.75187486942046,4.2139799424121
5.41792694111159,4.6145431177218
6.27089978916374,5.97071155115303
5.87203900112008,6.02829405782309
5.07694719750171,5.36813655648436
4.58576527008998,3.67632538158536
5.11523000503469,6.39046893753526
4.978856195974,3.85238820595227
5.0171419320531,6.43045515603259
5.62783673838059,5.35480703900875
5.16572496857977,3.98388686767296
5.43520945885548,7.65313574495072
4.89757175776801,3.8777746543622
4.76708217853351,3.00228077633414
4.99437227925808,4.79654098623716
5.46240036614124,4.74821770963831
5.62795667698282,5.31738232812103
5.24035202812234,4.18040872693287
4.63807011824899,5.06115392892201
6.28031040825729,8.0153451010364
5.79220692299662,5.26925158976972
5.56060160469116,4.32783743183462
6.35320896167536,5.70673855092735
4.87356227493581,3.73542653299047
4.76430417592849,3.92333337556382
5.46392663041788,5.54533780985878
5.51071481323235,5.25086790081947
5.70404255805245,5.19732709224308
6.18028368914719,5.99723577819381
6.91866661033629,8.00649160605069
5.47230642649772,5.25167350189031
4.92695382827832,4.3958407363793
5.48747073458819,5.15261702814869
5.11125757116698,4.28053936761431
5.54954300464007,4.72481193826489
5.83549212376184,4.53822868321156
4.72478242656383,3.39590626427055
6.17216273653442,6.04421701720878
5.43359064254459,5.02285661281292
5.63153565994897,6.95960899058397
5.50377304414005,5.8729773568354
5.06118683227492,3.87830770171382
6.09372167392602,5.63233279573726
5.94980023666646,5.3183599924763
5.59926064870374,6.10284710766916
6.10504085029823,5.51472408422507
4.86370110323405,3.61420741278562
5.01658098460758,4.40739996137414
6.89005837407953,7.68322191034038
6.82961475147471,6.01608460358683
5.39026707047104,5.85913880063419
5.80350858277522,5.53365913650934
4.82659282304814,5.23181292525001
5.90766213297961,5.69229155876293
6.59576623272405,6.70914772468726
5.57796791828944,6.85357454072089
5.98896487854047,7.22039570695906
