mean_incubation,std_incubation,percent,prior_size,true_size,date_until,max_time_span,num_infer_incubation,mode_add_size,add_size_50,add_size_2_5,add_size_97_5,mean_incubation_50,mean_incubation_2_5,mean_incubation_97_5,std_incubation_50,std_incubation_2_5,std_incubation_97_5
7.72541894,2.26106383,0.625258069,50,30,13.193268637036,26,19,1,0.812527607125935,0.0360686794617728,2.35295022931149,7.61215892669147,7.2004565516465,8.167282638126,2.4345827282678,2.14777575885292,2.69335721902032
6.10435099,2.87301672,0.0661195544,50,30,2.31314463645584,63,2,136,111.854903418004,24.0785195297204,197.840048715661,6.58960586749991,6.01779687647169,7.35502545347021,2.99784350520033,2.33629377627116,3.77878285073376
5.87158356,2.6616836,0.221422485,50,30,5.05541865827351,24,7,8,8.27767799077702,1.44133870549291,20.7372502622797,5.64999702642165,5.15239437778151,6.10914918579233,2.17883047183284,1.72566165955678,2.62419898752388
7.58467489,4.10822599,0.387580094,50,30,8.52940602793749,24,12,6,8.3525926037014,1.61509150425904,18.8343625647015,8.52387474534174,7.51580537685434,9.71250717686343,4.45519032743292,3.22479411398586,6.32924952782909
7.96727553,4.96743421,0.117893177,50,30,3.50734082531211,27,4,16,48.7652772085543,7.02638955755876,188.17985860849,7.84763726087883,6.41394030085027,9.19814586269451,4.29729611732435,3.2832782242798,5.55116127120949
7.60383095,4.60844319,0.347587597,50,30,7.60656201681278,26,11,8,10.2978228463326,2.80979663039122,22.6906916237643,8.39516595700794,7.33483174875162,9.44947735943016,4.63131192547799,3.34837111546301,5.99836152139112
6.36767887,3.02845379,0.147905041,50,30,4.45047910695387,33,5,12,12.5658836535787,3.51832879693864,30.2202726695752,6.41665394116167,5.64564261175382,7.05935759344645,3.05731657632287,2.48016114344882,3.59977189199234
6.16493328,3.65206089,0.661934887,50,30,11.7081429478184,25,20,1,1.66568552240099,0.132157587007478,6.24470702975449,6.71670712537335,5.8438936324068,7.78031527098591,3.84503276651623,2.92738095760637,4.90794836058292
5.18309142,3.14055635,0.381436716,50,30,5.23328582250392,21,12,10,9.75633630920725,3.14663587873468,23.4157005545287,5.66287217550767,5.07041812142671,6.31920255080504,3.16526341843958,2.48945436618464,4.07160658416177
7.4808694,3.88255486,0.429083311,50,30,8.50113371252778,25,13,6,6.08973172714407,1.10091612219838,15.1283918327338,7.76640238060152,6.86404022962829,8.75470809393748,3.88862649529602,2.89455499943689,4.65170272007085
5.12579947,2.2730388,0.541748831,50,30,6.79735865642875,18,17,2,2.97853733409397,0.236562526925598,9.14390373815407,5.11310590451304,4.68420775933271,5.71366722748889,1.8623929890579,1.52428120710158,2.25263984099688
7.82397092,4.59893595,0.711035445,50,30,12.1371641127797,26,22,3,2.7320400779828,0.177302877607474,9.24904500294482,8.19294325741277,7.24031777386925,9.164665184345,3.94923947512744,3.03448132474939,5.24603097693398
7.07771324,3.91987404,0.455130447,50,30,7.84366899418307,31,14,14,13.154700461087,3.14826675231891,53.1913725998975,8.12920706631147,7.12055704074457,9.439848775282,2.79938869747055,1.93728253391539,3.97022798433437
7.05621674,3.35850991,0.263190395,50,30,6.78893128429093,47,8,4,6.06158265418698,1.14779628370992,17.6300113702116,6.99798174222005,6.22154118095849,7.8194077993862,3.30904374715121,2.43513428006258,4.33368586197728
5.16138744,4.33825513,0.344819875,50,30,3.75642188122933,49,11,8,12.325501694539,2.02791929324927,36.009907153274,5.01529607302823,4.18496178453605,5.83963225291289,3.75620726189707,2.96276184247848,4.82165309735796
7.37900293,3.8984884,0.679095396,50,30,14.2649704126369,40,21,1,0.772850453045318,0.0843626205775586,3.30292251015295,6.52754219017863,5.91854864940297,7.25267111464063,3.51682450042536,2.92290536219584,4.29395703414553
5.16961118,4.74678191,0.938212161,50,30,19.8578671051567,31,29,1,0.606760033855401,0.0266191121662019,2.91991479107377,5.73788507867422,5.09234868146742,6.66466929225091,4.80509377333982,3.82828333639618,6.08198049484104
5.95419114,3.5250298,0.0694911139,50,30,2.95485291308198,28,3,18,45.6893961614417,5.75466137388733,153.187007861452,5.81074467993577,5.02796599993012,6.60238416562472,2.56056544446354,1.70469756602726,3.59616912101443
5.90651962,2.31255922,0.717102591,50,30,11.269200200064,24,22,1,1.37817983330365,0.0629774355709134,4.94333922520568,6.6817369953597,6.07154103399658,7.17962941167587,2.76800391595043,2.14180534112396,3.35588273235967
5.98559402,4.95613535,0.936784091,50,30,12.5638174284557,14,29,3,3.91468388617407,0.415696898894729,10.535177488976,7.7094175285851,6.61822724365937,8.85203947867983,5.48835308791655,4.0355655548287,6.87364225698177
5.51825327,4.34465619,0.875002751,50,30,17.002704511177,19,27,1,1.28908851376363,0.0404566287565315,4.00666689516707,6.81458216245839,5.44387924927326,7.9675682110689,5.35105957723292,3.491064401279,7.15350038784832
7.62485741,4.31190456,0.821276062,50,30,16.0794943014571,26,25,1,1.32673964766126,0.0372479695412537,4.33224536523014,8.66044669316693,7.72222758499126,9.58761577728172,4.49251519501674,3.48812095529089,5.4888762314514
7.7744308,2.30572881,0.9279944,50,30,24.2806996189712,33,28,0,0.458734436647503,0.0528182708816971,0.965181699153494,8.44320273975495,7.67968563633169,9.10891000412298,3.34831887634224,2.93711018250937,3.79516623087667
7.42603253,2.06099545,0.519399897,50,30,9.77765065034873,43,16,2,1.75064511458288,0.0902221338997289,6.28690008611756,7.51245875425532,7.08886666307353,7.95612986612689,1.83592113676402,1.5857470907994,2.11791189794275
6.29372821,2.81559701,0.348633869,50,30,6.46498389572084,36,11,8,16.5060607150385,4.93345316827619,38.7821707369681,7.77874794585817,6.63994545033078,8.8694377856178,3.20011407183481,2.21277532325731,4.76008617297516
7.42842178,3.49453105,0.875525634,50,30,13.2943746502433,18,27,1,0.984441481724558,0.092249999939072,3.52720904872477,7.44633423673397,6.91232502725485,8.0623154884168,2.95215153446236,2.44828868430584,3.36955159460554
5.51031918,4.80626636,0.885372607,50,30,13.2279834520172,22,27,1,0.807734717351836,0.117714481631521,3.32022105581213,5.09988022640767,4.55257577457103,5.82667672455595,3.62042451287483,3.08165267479187,4.35970836675003
7.58901726,2.49547448,0.714523267,50,30,11.5902494222441,19,22,1,1.47360617408218,0.164276212393679,4.78877921581944,7.69774741996768,7.26422670192825,8.2364985057353,2.35563234474863,1.98056534069422,2.92528924493931
5.73119652,3.64252193,0.389203214,50,30,7.98728038807547,52,12,1,2.13469438794714,0.154521508364159,7.53763849503568,5.48942932780033,4.94293677024718,6.14879216137801,3.07907382306136,2.2633290523254,4.22397371240493
6.82167928,2.42054344,0.402372982,50,30,7.43242123926899,29,13,11,12.5920029689742,3.37047943864996,24.8950742152437,7.88079484343702,7.06500603264782,8.53149031720042,2.71837465281236,2.00621877990083,3.58963631088501
7.11371294,4.65772906,0.407827025,50,30,6.93855345126293,15,13,13,15.3508692422918,4.80311431756644,36.4709009187895,8.1776090020777,7.10700099219149,9.29109312405036,4.20545918136917,2.89655346767595,5.45730974771255
5.41192484,3.51308034,0.111199841,50,30,3.36350761204328,23,4,19,25.5228814705114,4.87993925320289,77.9754002486047,5.861744019777,4.96933919779494,6.79757657064295,2.86282517533099,1.78917226243752,3.78594727641127
6.01022612,3.23765346,0.611509861,50,30,10.6868365311246,20,19,1,1.5810634937548,0.0513382802089851,4.63749224566457,6.11667393840452,5.37318915643095,6.86871977915762,3.22613930213978,2.7232092938656,4.05566749855057
6.51297305,4.78161954,0.387209501,50,30,7.99072273452345,39,12,2,3.79699004237201,0.478863331777718,10.1100959260938,6.48812067139817,5.65750730521916,7.58007598226768,4.51269998876488,3.23209754576456,6.02066009773549
6.08632156,2.51504931,0.261225479,50,30,6.7316277819238,19,8,3,3.89068756099031,0.279657984892826,15.0314703325677,6.19091471310108,5.54195872945714,6.76649455190932,2.24731351407986,1.71372875122616,2.87488180252339
